issue_date,province_id,lead,probability,base_rate,y_obs
2024-02-08,3,5,0.510395,0.116618,0.0
2024-02-08,3,6,0.521134,0.116051,0.0
2024-02-09,3,2,0.470495,0.116942,0.0
2024-02-09,3,3,0.51283,0.117017,0.0
2024-02-09,3,4,0.50511,0.117092,0.0
2024-02-09,3,5,0.490753,0.116618,0.0
2024-02-09,3,6,0.51736,0.116051,0.0
2024-02-10,3,2,0.454722,0.116942,0.0
2024-02-10,3,3,0.505688,0.117017,0.0
2024-02-10,3,4,0.503446,0.117092,0.0
2024-02-10,3,5,0.495026,0.116618,0.0
2024-02-10,3,6,0.521251,0.116051,0.0
2024-02-11,3,2,0.397122,0.116942,0.0
2024-02-11,3,3,0.447928,0.117017,0.0
2024-02-11,3,4,0.440092,0.117092,0.0
2024-02-11,3,5,0.430883,0.116618,0.0
2024-02-11,3,6,0.475582,0.116051,0.0
2024-02-12,3,2,0.352812,0.116942,0.0
2024-02-12,3,3,0.394631,0.117017,0.0
2024-02-12,3,4,0.387603,0.117092,0.0
2024-02-12,3,5,0.380935,0.116618,0.0
2024-02-12,3,6,0.433896,0.116051,0.0
2024-02-13,3,2,0.32699,0.116942,0.0
2024-02-13,3,3,0.361285,0.117017,0.0
2024-02-13,3,4,0.348259,0.117092,0.0
2024-02-13,3,5,0.359128,0.116618,0.0
2024-02-13,3,6,0.393634,0.116051,0.0
2024-02-14,3,2,0.335185,0.116942,0.0
2024-02-14,3,3,0.3728,0.117017,0.0
2024-02-14,3,4,0.35481,0.117092,0.0
2024-02-14,3,5,0.373763,0.116618,0.0
2024-02-14,3,6,0.398099,0.116051,0.0
2024-02-15,3,2,0.374856,0.116942,0.0
2024-02-15,3,3,0.408998,0.117017,0.0
2024-02-15,3,4,0.395376,0.117092,0.0
2024-02-15,3,5,0.407294,0.116618,0.0
2024-02-15,3,6,0.428988,0.116051,0.0
2024-02-16,3,2,0.368753,0.116942,0.0
2024-02-16,3,3,0.393568,0.117017,0.0
2024-02-16,3,4,0.387233,0.117092,0.0
2024-02-16,3,5,0.394168,0.116618,0.0
2024-02-16,3,6,0.423946,0.116051,0.0
2024-02-17,3,2,0.354142,0.116942,0.0
2024-02-17,3,3,0.378732,0.117017,0.0
2024-02-17,3,4,0.375926,0.117092,0.0
2024-02-17,3,5,0.381562,0.116618,0.0
2024-02-17,3,6,0.420701,0.116051,0.0
2024-02-18,3,2,0.351493,0.116942,0.0
2024-02-18,3,3,0.372347,0.117017,0.0
2024-02-18,3,4,0.372631,0.117092,0.0
2024-02-18,3,5,0.376435,0.116618,0.0
2024-02-18,3,6,0.420644,0.116051,0.0
2024-02-19,3,2,0.352821,0.116942,0.0
2024-02-19,3,3,0.366991,0.117017,0.0
2024-02-19,3,4,0.341866,0.117092,0.0
2024-02-19,3,5,0.362312,0.116618,0.0
2024-02-19,3,6,0.415702,0.116051,0.0
2024-02-20,3,2,0.351194,0.116942,0.0
2024-02-20,3,3,0.361911,0.117017,0.0
2024-02-20,3,4,0.334413,0.117092,0.0
2024-02-20,3,5,0.358081,0.116618,0.0
2024-02-20,3,6,0.403842,0.116051,0.0
2024-02-21,3,2,0.277829,0.116942,0.0
2024-02-21,3,3,0.318182,0.117017,0.0
2024-02-21,3,4,0.385905,0.117092,0.0
2024-02-21,3,5,0.397052,0.116618,0.0
